name_new,team_new,start_date_new,end_date_new,home_wins_new,away_wins_new,home_loss_new,away_loss_new,home_draws_new,away_draws_new,total_games_new,total_home_games_new,total_away_games_new,avg_xg_created_in_home_wins_new,avg_xg_faced_in_home_wins_new,avg_xg_created_in_away_wins_new,avg_xg_faced_in_away_wins_new,avg_xg_created_in_home_draws_new,avg_xg_faced_in_home_draws_new,avg_xg_created_in_away_draws_new,avg_xg_faced_in_away_draws_new,avg_xg_created_in_home_loss_new,avg_xg_faced_in_home_loss_new,avg_xg_created_in_away_loss_new,avg_xg_faced_in_away_loss_new,median_xg_created_in_home_wins_new,median_xg_faced_in_home_wins_new,median_xg_created_in_away_wins_new,median_xg_faced_in_away_wins_new,median_xg_created_in_home_draws_new,median_xg_faced_in_home_draws_new,median_xg_created_in_away_draws_new,median_xg_faced_in_away_draws_new,median_xg_created_in_home_loss_new,median_xg_faced_in_home_loss_new,median_xg_created_in_away_loss_new,median_xg_faced_in_away_loss_new,name_old,team_old,start_date_old,end_date_old,home_wins_old,away_wins_old,home_loss_old,away_loss_old,home_draws_old,away_draws_old,total_games_old,total_home_games_old,total_away_games_old,avg_xg_created_in_home_wins_old,avg_xg_faced_in_home_wins_old,avg_xg_created_in_away_wins_old,avg_xg_faced_in_away_wins_old,avg_xg_created_in_home_draws_old,avg_xg_faced_in_home_draws_old,avg_xg_created_in_away_draws_old,avg_xg_faced_in_away_draws_old,avg_xg_created_in_home_loss_old,avg_xg_faced_in_home_loss_old,avg_xg_created_in_away_loss_old,avg_xg_faced_in_away_loss_old,median_xg_created_in_home_wins_old,median_xg_faced_in_home_wins_old,median_xg_created_in_away_wins_old,median_xg_faced_in_away_wins_old,median_xg_created_in_home_draws_old,median_xg_faced_in_home_draws_old,median_xg_created_in_away_draws_old,median_xg_faced_in_away_draws_old,median_xg_created_in_home_loss_old,median_xg_faced_in_home_loss_old,median_xg_created_in_away_loss_old,median_xg_faced_in_away_loss_old,league,old_manager_type,new_manager_type
David Gallego,Espanyol,2018-04-22,2018-04-22,0,1,0,0,0,0,1,0,1,0.0,0.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Quique Flores,Espanyol,2018-04-15,2018-04-15,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.7,LALIGA,PERMANENT,INTERIM
Antonio Clavero,Espanyol,2018-05-13,2018-05-13,1,0,0,0,0,0,1,1,0,4.3,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,David Gallego,Espanyol,2018-04-28,2018-04-28,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,LALIGA,INTERIM,INTERIM
Pablo Machín,Espanyol,2019-10-20,2019-10-20,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.6,0.0,0.0,David Gallego,Espanyol,2019-09-29,2019-09-29,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.8,0.0,0.0,LALIGA,PERMANENT,PERMANENT
Abelardo Fernández,Espanyol,2020-01-04,2020-01-04,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.7,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,2.2,0.0,0.0,0.0,0.0,0.0,0.0,Pablo Machín,Espanyol,2019-12-15,2019-12-15,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,1.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,LALIGA,PERMANENT,PERMANENT
Francisco Rufete,Espanyol,2020-06-28,2020-06-28,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,2.1,0.0,0.0,Abelardo Fernández,Espanyol,2020-06-20,2020-06-20,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.9,0.0,0.0,LALIGA,PERMANENT,PERMANENT
Lluis Blanco,Espanyol,2022-05-14,2022-05-14,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.7,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1.6,0.0,0.0,0.0,0.0,0.0,0.0,Vicente Moreno,Espanyol,2022-05-08,2022-05-08,0,0,0,0,1,0,1,1,0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,LALIGA,PERMANENT,INTERIM
Luis García,Espanyol,2023-04-08,2023-04-08,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.3,0.0,0.0,Diego Martínez,Espanyol,2023-03-18,2023-03-18,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1.6,0.0,0.0,LALIGA,PERMANENT,PERMANENT
Luis Cembranos,Leganés,2019-10-26,2019-10-26,1,0,0,0,0,0,1,1,0,1.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mauricio Pellegrino,Leganés,2019-10-05,2019-10-05,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.2,0.0,0.0,LALIGA,PERMANENT,INTERIM
Javier Aguirre,Leganés,2019-11-08,2019-11-08,0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1,0.0,0.0,0.0,0.0,Luis Cembranos,Leganés,2019-10-30,2019-10-30,0,0,0,1,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.8,LALIGA,INTERIM,PERMANENT
Fabio Grosso,Brescia,2019-11-09,2019-11-09,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,3.3,0.0,0.0,Eugenio Corini,Brescia,2019-10-29,2019-10-29,0,0,1,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.8,0.0,0.0,SERIE_A,PERMANENT,INTERIM
