name_new,name_old,home_wins_new,home_wins_old,away_wins_new,away_wins_old,home_draws_new,home_draws_old,away_draws_new,away_draws_old,home_loss_new,home_loss_old,away_loss_new,away_loss_old,team_old,team_new,league,new_manager_type,old_manager_type,start_date_new,start_date_old,wins_new,wins_old,draws_new,draws_old,loss_new,loss_old,first_bounce_effect,first_bounce_cause,match_location,year,bounce_effect,bounce_value
David Gallego,Quique Flores,0,0,1,0,0,0,0,0,0,0,0,1,Espanyol,Espanyol,LALIGA,INTERIM,PERMANENT,2018-04-22,2018-04-15,1,0,0,0,0,1,WIN,LOSS,AWAY,2018,True,Bounce
Antonio Clavero,David Gallego,1,0,0,0,0,1,0,0,0,0,0,0,Espanyol,Espanyol,LALIGA,INTERIM,INTERIM,2018-05-13,2018-04-28,1,0,0,1,0,0,WIN,DRAW,HOME,2018,True,Bounce
Pablo Machín,David Gallego,0,0,0,0,0,0,0,0,1,1,0,0,Espanyol,Espanyol,LALIGA,PERMANENT,PERMANENT,2019-10-20,2019-09-29,0,0,0,0,1,1,LOSS,LOSS,HOME,2019,False,No-Bounce
Abelardo Fernández,Pablo Machín,0,0,0,0,1,1,0,0,0,0,0,0,Espanyol,Espanyol,LALIGA,PERMANENT,PERMANENT,2020-01-04,2019-12-15,0,0,1,1,0,0,DRAW,DRAW,HOME,2020,False,No-Bounce
Francisco Rufete,Abelardo Fernández,0,0,0,0,0,0,0,0,1,1,0,0,Espanyol,Espanyol,LALIGA,PERMANENT,PERMANENT,2020-06-28,2020-06-20,0,0,0,0,1,1,LOSS,LOSS,HOME,2020,False,No-Bounce
Lluis Blanco,Vicente Moreno,0,0,0,0,1,1,0,0,0,0,0,0,Espanyol,Espanyol,LALIGA,INTERIM,PERMANENT,2022-05-14,2022-05-08,0,0,1,1,0,0,DRAW,DRAW,HOME,2022,False,No-Bounce
Luis García,Diego Martínez,0,0,0,0,0,0,0,0,1,1,0,0,Espanyol,Espanyol,LALIGA,PERMANENT,PERMANENT,2023-04-08,2023-03-18,0,0,0,0,1,1,LOSS,LOSS,HOME,2023,False,No-Bounce
Luis Cembranos,Mauricio Pellegrino,1,0,0,0,0,0,0,0,0,1,0,0,Leganés,Leganés,LALIGA,INTERIM,PERMANENT,2019-10-26,2019-10-05,1,0,0,0,0,1,WIN,LOSS,HOME,2019,True,Bounce
Javier Aguirre,Luis Cembranos,0,0,0,0,0,0,1,0,0,0,0,1,Leganés,Leganés,LALIGA,PERMANENT,INTERIM,2019-11-08,2019-10-30,0,0,1,0,0,1,DRAW,LOSS,AWAY,2019,True,Bounce
Fabio Grosso,Eugenio Corini,0,0,0,0,0,0,0,0,1,1,0,0,Brescia,Brescia,SERIE_A,INTERIM,PERMANENT,2019-11-09,2019-10-29,0,0,0,0,1,1,LOSS,LOSS,HOME,2019,False,No-Bounce
